houseCode,houseRegion,houseName,houseAllPrice,houseType,houseSize,houseDirection,houseStatus,houseFloor,houseAddress,houseDistrict,houseElevator,Latitude,Longitude,type,use,houseYear,houseUnitPrice
1.03119E+11,雨山区,深业华府春天里,128,2室2厅2厨1卫,86.95,南,精装,中楼层 (共33层),,安民,有,118.5080011,31.66771432,商品房,普通住宅,2022,14721
1.03118E+11,雨山区,深业华府,124,2室2厅1厨1卫,91.17,南,精装,中楼层 (共33层),,安民,有,118.507779,31.66099,商品房,普通住宅,2021,13601
1.0312E+11,雨山区,平塘村,40,2室1厅1厨1卫,56.32,东南,其他,低楼层 (共5层),,平湖,无,118.4982655,31.6953263,商品房,普通住宅,2022,7102
1.0312E+11,花山区,梅园,45.8,2室1厅1厨1卫,56.61,南,其他,中楼层 (共6层),,解放路,无,118.523005,31.70852183,商品房,普通住宅,2022,8090
1.0312E+11,雨山区,永泰家园南区,32,2室1厅1厨1卫,66.74,南,其他,高楼层 (共6层),,雨山,无,118.485606,31.686205,商品房,普通住宅,2022,4795
1.0312E+11,雨山区,天泽水岸,100,2室2厅1厨1卫,92.88,南 北,精装,中楼层 (共11层),,佳山,有,118.518744,31.658606,商品房,普通住宅,2022,10767
1.0312E+11,花山区,华林雅筑,27,2室1厅1厨1卫,67.32,南,其他,中楼层 (共6层),,解放路,无,118.505008,31.720449,商品房,普通住宅,2022,4011
1.0312E+11,花山区,金安佳苑北区,46.5,2室1厅1厨1卫,70.72,南,其他,低楼层 (共6层),,塘西,暂无数据,118.518582,31.723067,商品房,普通住宅,2022,6575
1.03119E+11,雨山区,银河湾城市茗苑,114.6,3室2厅1厨1卫,94,南,毛坯,高楼层 (共17层),,佳山,有,118.520916,31.657373,商品房,普通住宅,2022,12191
1.03116E+11,当涂县,姑溪山水一期,64,3室2厅1厨1卫,96.7,南,精装,低楼层 (共6层),,当涂县,无,118.5117002,31.55281999,商品房,普通住宅,2021,6618
1.03117E+11,雨山区,西塘名苑,78,3室1厅1厨1卫,100.3,南,毛坯,低楼层 (共18层),,佳山,有,118.52325,31.653428,动迁安置房,普通住宅,2021,7777
